# C I-VII ionisation fractions under collisional ionisation equilibrium. Extracted from CHIANTI database.
#  Temp          C I          C II         C III         C IV          C V          C VI         C VII
3.50000e+03  1.00000e+00  4.07580e-13  4.59423e-46  8.68599e-114  2.15113e-205  0.00000e+00  0.00000e+00
3.79294e+03  1.00000e+00  7.82709e-12  5.02642e-42  2.19786e-104  8.89270e-189  0.00000e+00  0.00000e+00
4.11041e+03  1.00000e+00  1.19842e-10  2.71207e-38  1.06701e-95  1.97022e-173  0.00000e+00  0.00000e+00
4.45444e+03  1.00000e+00  1.48926e-09  7.62007e-35  1.12885e-87  2.93226e-159  0.00000e+00  0.00000e+00
4.82727e+03  1.00000e+00  1.52730e-08  1.17245e-31  2.92768e-80  3.61155e-146  0.00000e+00  0.00000e+00
5.23131e+03  1.00000e+00  1.31286e-07  1.03501e-28  2.07519e-73  4.46322e-134  0.00000e+00  0.00000e+00
5.66916e+03  9.99999e-01  9.59680e-07  5.47319e-26  4.44509e-67  6.61181e-123  0.00000e+00  0.00000e+00
6.14366e+03  9.99994e-01  6.04569e-06  1.80430e-23  3.15716e-61  1.38368e-112  0.00000e+00  0.00000e+00
6.65787e+03  9.99967e-01  3.32287e-05  3.84745e-21  8.10060e-56  4.76021e-103  0.00000e+00  0.00000e+00
7.21512e+03  9.99839e-01  1.61136e-04  5.49070e-19  8.12535e-51  3.09604e-94  0.00000e+00  0.00000e+00
7.81902e+03  9.99304e-01  6.96318e-04  5.41042e-17  3.42575e-46  4.32942e-86  0.00000e+00  0.00000e+00
8.47345e+03  9.97297e-01  2.70336e-03  3.78547e-15  6.48329e-42  1.46394e-78  1.30149e-311  0.00000e+00
9.18267e+03  9.90525e-01  9.47458e-03  1.92464e-13  5.83356e-38  1.32989e-71  1.33059e-286  0.00000e+00
9.95124e+03  9.70097e-01  2.99034e-02  7.21513e-12  2.61174e-34  3.54983e-65  1.62450e-263  0.00000e+00
1.07841e+04  9.16432e-01  8.35680e-02  1.99170e-10  5.97267e-31  2.97685e-59  3.24310e-242  0.00000e+00
1.16868e+04  8.01044e-01  1.98956e-01  3.95030e-09  6.97488e-28  8.14058e-54  1.38068e-222  0.00000e+00
1.26649e+04  6.16097e-01  3.83903e-01  5.42227e-08  4.09276e-25  7.39484e-49  1.57627e-204  0.00000e+00
1.37250e+04  4.10355e-01  5.89645e-01  5.11124e-07  1.22055e-22  2.33028e-44  6.12095e-188  0.00000e+00
1.48737e+04  2.47877e-01  7.52120e-01  3.48008e-06  1.98102e-20  2.80955e-40  1.06684e-172  0.00000e+00
1.61186e+04  1.45996e-01  8.53986e-01  1.84482e-05  1.92060e-18  1.46170e-36  1.11069e-158  4.80663e-312
1.74677e+04  8.84772e-02  9.11442e-01  8.06815e-05  1.20127e-16  3.63423e-33  8.91200e-146  2.89515e-287
1.89297e+04  5.65459e-02  9.43153e-01  3.00973e-04  5.11392e-15  4.66258e-30  6.85131e-134  2.02235e-264
2.05141e+04  3.82513e-02  9.60773e-01  9.75259e-04  1.54071e-13  3.27887e-27  6.10510e-123  2.34905e-243
2.22311e+04  2.71883e-02  9.70033e-01  2.77913e-03  3.39428e-12  1.33193e-24  7.49251e-113  6.26330e-224
2.40918e+04  2.00732e-02  9.72882e-01  7.04494e-03  5.63768e-11  3.28151e-22  1.48538e-103  5.16361e-206
2.61083e+04  1.52079e-02  9.68717e-01  1.60755e-02  7.26739e-10  5.13323e-20  5.51566e-95  1.73409e-189
2.82935e+04  1.16855e-02  9.54928e-01  3.33861e-02  7.46383e-09  5.31552e-18  4.39508e-87  3.05772e-174
3.06616e+04  9.00320e-03  9.27346e-01  6.36509e-02  6.24174e-08  3.77750e-16  8.49958e-80  3.56947e-160
3.32279e+04  6.87678e-03  8.81159e-01  1.11964e-01  4.32112e-07  1.89794e-14  4.45323e-73  3.40449e-147
3.60091e+04  5.14994e-03  8.12795e-01  1.82053e-01  2.50612e-06  6.90617e-13  6.97317e-67  3.21057e-135
3.90230e+04  3.74541e-03  7.22499e-01  2.73744e-01  1.22892e-05  1.85758e-11  3.56642e-61  3.56344e-124
4.22891e+04  2.62921e-03  6.16103e-01  3.81216e-01  5.14278e-05  3.76661e-10  6.47167e-56  5.47125e-114
4.58286e+04  1.77954e-03  5.04018e-01  4.94017e-01  1.85823e-04  5.88129e-09  4.51118e-51  1.35312e-104
4.96644e+04  1.16585e-03  3.97442e-01  6.00804e-01  5.88305e-04  7.23976e-08  1.30494e-46  6.22740e-96
5.38212e+04  7.44640e-04  3.04454e-01  6.93142e-01  1.65890e-03  7.20028e-07  1.68690e-42  6.11048e-88
5.83260e+04  4.67355e-04  2.28469e-01  7.66825e-01  4.23292e-03  5.92244e-06  1.04424e-38  1.45038e-80
6.32078e+04  2.90078e-04  1.69094e-01  8.20669e-01  9.90556e-03  4.11153e-05  3.29521e-35  9.34514e-74
6.84982e+04  1.78647e-04  1.23880e-01  8.54233e-01  2.14635e-02  2.44791e-04  5.59997e-32  1.81292e-67
7.42314e+04  1.09074e-04  8.97821e-02  8.65579e-01  4.32669e-02  1.26327e-03  5.36950e-29  1.16035e-61
8.04444e+04  6.55782e-05  6.39508e-02  8.49313e-01  8.09996e-02  5.67149e-03  3.01389e-26  2.64983e-56
8.71775e+04  3.81888e-05  4.40425e-02  7.94777e-01  1.39145e-01  2.19973e-02  1.01396e-23  2.29681e-51
9.44741e+04  2.08297e-05  2.83636e-02  6.86731e-01  2.12980e-01  7.19043e-02  2.05174e-21  7.85498e-47
1.02381e+05  1.00690e-05  1.61640e-02  5.18982e-01  2.75893e-01  1.88951e-01  2.44481e-19  1.07209e-42
1.10951e+05  4.08042e-06  7.71132e-03  3.24799e-01  2.87099e-01  3.80386e-01  1.67456e-17  5.87418e-39
1.20237e+05  1.38216e-06  3.07084e-03  1.67982e-01  2.40048e-01  5.88898e-01  6.76686e-16  1.36342e-35
1.30301e+05  4.16277e-07  1.08592e-03  7.64272e-02  1.72032e-01  7.50454e-01  1.76248e-14  1.50250e-32
1.41206e+05  1.20053e-07  3.67247e-04  3.29639e-02  1.14098e-01  8.52571e-01  3.26565e-13  8.88398e-30
1.53025e+05  3.48301e-08  1.24790e-04  1.41687e-02  7.37531e-02  9.11953e-01  4.62606e-12  3.09571e-27
1.65833e+05  1.04190e-08  4.36692e-05  6.22463e-03  4.77329e-02  9.45999e-01  5.24418e-11  6.78939e-25
1.79713e+05  3.24679e-09  1.59004e-05  2.82554e-03  3.13159e-02  9.65843e-01  4.90048e-10  9.83433e-23
1.94755e+05  1.05740e-09  6.04352e-06  1.33022e-03  2.09341e-02  9.77730e-01  3.85518e-09  9.77434e-21
2.11055e+05  3.59929e-10  2.39802e-06  6.49796e-04  1.42836e-02  9.85064e-01  2.59552e-08  6.88409e-19
2.28720e+05  1.27880e-10  9.92004e-07  3.29013e-04  9.94903e-03  9.89721e-01  1.51605e-07  3.53418e-17
2.47864e+05  4.73342e-11  4.27016e-07  1.72397e-04  7.07047e-03  9.92756e-01  7.77446e-07  1.35647e-15
2.68610e+05  1.82160e-11  1.90882e-07  9.33188e-05  5.12286e-03  9.94780e-01  3.53731e-06  3.98274e-14
2.91092e+05  7.27416e-12  8.84331e-08  5.20994e-05  3.78158e-03  9.96152e-01  1.44161e-05  9.13491e-13
3.15456e+05  3.00928e-12  4.23926e-08  2.99629e-05  2.84288e-03  9.97074e-01  5.30789e-05  1.66837e-11
3.41859e+05  1.28853e-12  2.10081e-08  1.77389e-05  2.17676e-03  9.97628e-01  1.77927e-04  2.46904e-10
3.70472e+05  5.70963e-13  1.07605e-08  1.08113e-05  1.69883e-03  9.97744e-01  5.46711e-04  3.00795e-09
4.01480e+05  2.61973e-13  5.70000e-09  6.78849e-06  1.35326e-03  9.97091e-01  1.54866e-03  3.05922e-08
4.35083e+05  1.24593e-13  3.12583e-09  4.39684e-06  1.10225e-03  9.94831e-01  4.06177e-03  2.62880e-07
4.71499e+05  6.14642e-14  1.77584e-09  2.94009e-06  9.19285e-04  9.89188e-01  9.88773e-03  1.92682e-06
5.10963e+05  3.14208e-14  1.04415e-09  2.02811e-06  7.84777e-04  9.76864e-01  2.23374e-02  1.21235e-05
