#   E (cm^-1)      g     stage
       0.000       1       0
   52367.059       1       0
   52390.750       3       0
   52447.109       5       0
  102352.039       3       0
  137425.703       1       0
  137454.406       3       0
  137502.016       5       0
  145876.125       5       0
  182519.875       1       0
  238213.000       3       0
  247170.266       1       0
  258931.297       3       0
  259705.547       1       0
  259711.219       3       0
  259724.297       5       0
  270010.844       3       0
  270011.938       5       0
  270014.750       7       0
  276482.875       5       0
  308216.594       1       0
  308248.906       3       0
  308317.281       5       0
  309457.156       3       0
  310006.312       3       0
  311721.500       1       0
  317794.250       1       0
  317796.500       3       0
  317801.312       5       0
  319720.344       3       0
  321411.312       3       0
  321426.750       5       0
  321450.062       7       0
  322003.688       5       0
  322009.594       7       0
  322017.969       9       0
  322404.188       3       0
  322702.031       7       0
  323076.875       3       0
  323101.375       5       0
  323140.344       7       0
  324212.500       5       0
  327278.281       3       0
  329685.375       1       0
  329706.469       3       0
  329743.562       5       0
  332691.281       5       0
  333118.219       5       0
  333387.000       5       0
  333411.562       7       0
  333447.250       9       0
  337655.969       3       0
  337668.875       5       0
  337688.031       7       0
  338514.344       1       0
  339934.719       3       0
  340101.844       5       0
  340127.531       3       0
  340141.844       1       0
  341370.938       7       0
  343258.031       3       0
  344232.969       5       0
  344236.281       3       0
  344238.688       1       0
  345095.438       1       0
  345496.562       3       0
  345496.719       5       0
  345497.156       7       0
  346579.219       7       0
  346579.219       9       0
  346579.312       9       0
  346579.500      11       0
  346658.344       5       0
  346712.719       3       0
  347151.875       5       0
  347153.250       7       0
  347155.406       9       0
  348860.000       7       0
  354858.031       3       0
  357049.375       1       0
  357050.156       3       0
  357051.219       5       0
  357109.688       3       0
  358097.781       3       0
  358097.781       5       0
  358097.781       7       0
  358692.188       9       0
  358692.188       7       0
  358692.188       9       0
  358692.406      11       0
  358732.938       5       0
  358776.312      11       0
  358776.312       9       0
  358776.312      11       0
  358776.312      13       0
  358850.031       5       0
  358850.312       7       0
  358850.750       9       0
  359121.938       7       0
  363613.000       3       0
  364896.000       3       0
  365638.000       3       0
  365638.000       5       0
  365638.000       7       0
  365998.406       7       0
  365998.406       9       0
  365998.406      11       0
  366028.000       5       0
  366069.000       5       0
  366069.000       7       0
  366069.000       9       0
  369926.000       3       0
  370499.000       3       0
  370499.000       5       0
  370499.000       7       0
  373828.000       3       0
  373828.000       5       0
  373828.000       7       0
  376278.094       1       0
  376299.188       3       0
  376403.594       5       0
  381105.406       3       0
  381950.000       3       0
  381971.000       5       0
  382010.000       7       0
  384345.000       1       0
  384365.000       3       0
  384405.406       5       0
  385638.094       5       0
  385817.188       5       0
  385826.000       5       0
  385826.000       7       0
  385826.000       9       0
  386241.000       2       1
  386304.406       4       1
  429243.812       2       1
  429265.906       4       1
  429294.188       6       1
  461171.062       6       1
  461173.594       4       1
  482734.656       2       1
  496865.188       2       1
  496906.594       4       1
  502778.656       2       1
  517965.375       2       1
  517976.531       4       1
  528267.250       4       1
  531790.250       4       1
  531791.688       6       1
  536702.562       6       1
  536707.688       4       1
  543475.062       2       1
  548758.875       2       1
  548765.562       4       1
  553208.125       2       1
  553231.750       4       1
  553276.750       6       1
  554365.188       4       1
  554365.375       6       1
  554970.500       2       1
  554989.250       4       1
  555219.250       6       1
  555219.438       8       1
  559588.938       2       1
  561528.375       2       1
  561535.750       4       1
  564015.562       2       1
  564034.500       4       1
  564736.312       4       1
  564736.562       6       1
  565197.375       6       1
  565197.438       8       1
  565314.000       8       1
  565314.125      10       1
  567505.250       2       1
  567937.688       2       1
  567952.062       4       1
  567977.062       6       1
  568013.375       8       1
  568264.875       2       1
  568284.375       4       1
  569233.875       2       1
  569234.125       4       1
  570315.688       4       1
  570316.375       6       1
  570617.125       6       1
  570617.188       8       1
  570690.500       8       1
  570690.562      10       1
  570705.125      10       1
  570705.125      12       1
  570932.000       4       1
  571973.938       2       1
  572668.375       2       1
  572684.688       4       1
  572707.000       6       1
  572986.375       2       1
  572987.312       4       1
  573594.375       4       1
  573594.375       6       1
  573882.875       6       1
  573882.875       8       1
  573932.312       8       1
  573932.375      10       1
  573941.875      10       1
  573941.875      12       1
  573944.750      12       1
  573944.750      14       1
  574745.500       2       1
  574822.250       4       1
  574856.000       6       1
  576002.875       6       1
  576002.875       8       1
  576036.188       8       1
  576036.188      10       1
  576042.938      10       1
  576042.938      12       1
  576044.750      12       1
  576044.750      14       1
  576045.438      14       1
  576045.438      16       1
  576049.000       4       1
  576053.000       6       1
  576582.375       2       1
  577451.000       4       1
  577451.500       6       1
  577454.250       6       1
  577454.312       8       1
  577478.250       8       1
  577478.250      10       1
  577483.000      10       1
  577483.000      12       1
  577484.438      12       1
  577484.438      14       1
  577485.000      14       1
  577485.000      16       1
  578476.312       4       1
  578476.500       6       1
  578492.062       6       1
  578492.062       8       1
  578509.750       8       1
  578509.750      10       1
  578513.375      10       1
  578513.375      12       1
  578514.250      12       1
  578514.250      14       1
  578514.688      14       1
  578514.688      16       1
  579236.625       4       1
  579236.688       6       1
  579259.062       6       1
  579259.062       8       1
  579272.688       8       1
  579272.688      10       1
  579275.375      10       1
  579275.375      12       1
  579276.250      12       1
  579276.250      14       1
  579276.500      14       1
  579276.500      16       1
  579837.125       4       1
  579837.188       6       1
  579842.250       6       1
  579842.250       8       1
  579853.125       8       1
  579853.125      10       1
  579855.125      10       1
  579855.125      12       1
  579855.750      12       1
  579855.750      14       1
  579856.000      14       1
  579856.000      16       1
  580296.375       6       1
  580296.375       8       1
  580304.625       8       1
  580304.625      10       1
  580306.250      10       1
  580306.250      12       1
  580306.750      12       1
  580306.750      14       1
  580306.938      14       1
  580306.938      16       1
  580654.812       6       1
  580654.812       8       1
  580663.125       8       1
  580663.125      10       1
  580664.188      10       1
  580664.188      12       1
  580664.562      12       1
  580664.562      14       1
  580664.750      14       1
  580664.750      16       1
  580881.188       4       1
  580881.188       6       1
  580946.500       6       1
  580946.500       8       1
  580951.875       8       1
  580951.875      10       1
  580952.938      10       1
  580952.938      12       1
  580953.250      14       1
  580953.250      12       1
  580953.375      16       1
  580953.375      14       1
  581993.625       4       1
  582006.875       6       1
  582026.750       8       1
  582054.625      10       1
  582798.938       2       1
  582804.375       4       1
  582812.812       6       1
  582822.938       8       1
  582904.312       1       2
